17SDGs,MSCI sector,news header,sentiment,wiki_product,report evidence,all
SDG1: No Poverty,0.2349,0.2244,0.2312,0.2312,0.0131,0.2312
SDG2: Zero Hunger,0.1281,0.1836,0.2029,0.2060,0.0599,0.2047
SDG3: Good Health and Well-being,0.2292,0.7486,0.8161,0.8239,0.1471,0.8327
SDG4: Quality Education,0.2798,0.4654,0.4431,0.4654,0.1048,0.4654
SDG5: Gender Equality,0.0930,0.8325,0.8096,0.8388,0.1036,0.8113
SDG6: Clean Water and Sanitation,0.1482,0.5963,0.7156,0.7129,0.2021,0.7129
SDG7: Affordable and Clean Energy,0.2630,0.5789,0.6377,0.6481,0.2173,0.6591
SDG8: Decent Work and Economic Growth,0.2832,0.3725,0.3696,0.4087,0.1138,0.4149
"SDG9: Industry, Innovation and Infrastructure",0.2385,0.4421,0.4291,0.4949,0.1371,0.4937
SDG10: Reduced Inequality,0.3430,0.3178,0.4651,0.4654,0.0965,0.4654
SDG11: Sustainable Cities and Communities,0.1530,0.4420,0.4200,0.4129,0.0747,0.4249
SDG12: Responsible Consumption and Production,0.1205,0.6023,0.6512,0.6398,0.1983,0.6523
SDG13: Climate Action,0.1922,0.9448,0.9450,0.9241,0.2081,0.9194
SDG14: Life Below Water,0.1446,0.2642,0.2641,0.2643,0.0157,0.2643
SDG15: Life On Land,0.1143,0.1737,0.1761,0.1761,0.0195,0.1761
"SDG16: Peace, Justice, and Strong Institutions",0.0669,0.1705,0.2028,0.2047,0.0372,0.2047
