,SDG_01,SDG_02,SDG_03,SDG_04,SDG_05,SDG_06,SDG_07,SDG_08,SDG_09,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15
sector,0.491180552,0.458491642,0.305939966,0.492880682,0.440557444,0.36919711,0.375588613,0.408798641,0.331338732,0.340201757,0.450053354,0.428536644,0.391810969,0.233808122,0.476396443
wiki_product,0.535340463,0.498489712,0.818173061,0.699322799,0.499057668,0.696221873,0.733424484,0.418005924,0.60009305,0.557074144,0.554423651,0.788963529,0.908231046,0.220635902,0.699298516
report_evi,0.132778749,0.442027686,0.231867941,0.627855869,0.269811099,0.36954019,0.285342892,0.185728356,0.300394508,0.122528156,0.405513289,0.199069152,0.245228198,0.011846233,0.072330748
sector + wiki_product,0.668600978,0.555317551,0.820632592,0.699322799,0.499057668,0.707981891,0.771432049,0.460643058,0.60111319,0.591834505,0.616388874,0.813932976,0.892082521,0.220594583,0.699298516
sector + report_evi,0.491180552,0.496495865,0.312262801,0.494669731,0.488714177,0.367701826,0.422456944,0.440883535,0.424041074,0.352241109,0.461979803,0.426941144,0.449802951,0.238112993,0.477175344
wiki_product + report_evi,0.528580443,0.479169654,0.809192541,0.699322799,0.499057668,0.712657149,0.722882537,0.419968082,0.566819034,0.56440245,0.559105096,0.7733801,0.872174882,0.204035913,0.699298516
all,0.639678439,0.522833585,0.815954187,0.699322799,0.499057668,0.710507614,0.757905573,0.422870155,0.585755772,0.61960563,0.620542016,0.797529459,0.881374048,0.207802264,0.699298516
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
17 SDGs,sector,wiki_product,report_evi,sector + wiki_product,sector + report_evi,wiki_product + report_evi,all,,,,,,,,
SDG_01,0.4912,0.5353,0.1328,0.6686,0.4912,0.5286,0.6397,,,,,,,,
SDG_02,0.4585,0.4985,0.442,0.5553,0.4965,0.4792,0.5228,,,,,,,,
SDG_03,0.3059,0.8182,0.2319,0.8206,0.3123,0.8092,0.816,,,,,,,,
SDG_04,0.4929,0.6993,0.6279,0.6993,0.4947,0.6993,0.6993,,,,,,,,
SDG_05,0.4406,0.4991,0.2698,0.4991,0.4887,0.4991,0.4991,,,,,,,,
SDG_06,0.3692,0.6962,0.3695,0.708,0.3677,0.7127,0.7105,,,,,,,,
SDG_07,0.3756,0.7334,0.2853,0.7714,0.4225,0.7229,0.7579,,,,,,,,
SDG_08,0.4088,0.418,0.1857,0.4606,0.4409,0.42,0.4229,,,,,,,,
SDG_09,0.3313,0.6001,0.3004,0.6011,0.424,0.5668,0.5858,,,,,,,,
SDG_10,0.3402,0.5571,0.1225,0.5918,0.3522,0.5644,0.6196,,,,,,,,
SDG_11,0.4501,0.5544,0.4055,0.6164,0.462,0.5591,0.6205,,,,,,,,
SDG_12,0.4285,0.789,0.1991,0.8139,0.4269,0.7734,0.7975,,,,,,,,
SDG_13,0.3918,0.9082,0.2452,0.8921,0.4498,0.8722,0.8814,,,,,,,,
SDG_14,0.2338,0.2206,0.0118,0.2206,0.2381,0.204,0.2078,,,,,,,,
SDG_15,0.4764,0.6993,0.0723,0.6993,0.4772,0.6993,0.6993,,,,,,,,
,,,,,,,,,,,,,,,
