,company
0,Western Union
1,Western Union
2,Western Union
0,Experian
1,Experian
2,Experian
0,Nomura Real Estate Hldg
1,Nomura Real Estate Hldg
2,Nomura Real Estate Hldg
0,Ryman Healthcare
1,Ryman Healthcare
2,Ryman Healthcare
0,Suzuki Motor Corp
1,Suzuki Motor Corp
2,Suzuki Motor Corp
0,China Merchants Bank H
1,China Merchants Bank H
2,China Merchants Bank H
0,Svenska Handelsbk A
1,Svenska Handelsbk A
2,Svenska Handelsbk A
0,Constellation Software
1,Constellation Software
2,Constellation Software
0,Inter Pipeline Fund
1,Inter Pipeline Fund
2,Inter Pipeline Fund
0,Swire Pacific A
1,Swire Pacific A
2,Swire Pacific A
0,Sysco Corp
1,Sysco Corp
2,Sysco Corp
0,Sba Communications A
1,Sba Communications A
2,Sba Communications A
0,Taisei Corp
1,Taisei Corp
2,Taisei Corp
0,Robinsons Land Corp
1,Robinsons Land Corp
2,Robinsons Land Corp
0,Eva Airways Corp
1,Eva Airways Corp
2,Eva Airways Corp
0,Ms&ad Insurance Group
1,Ms&ad Insurance Group
2,Ms&ad Insurance Group
0,On Semiconductor Corp
1,On Semiconductor Corp
2,On Semiconductor Corp
0,Alibaba Health Info Tech
1,Alibaba Health Info Tech
2,Alibaba Health Info Tech
0,Taisho Pharm Holdings Co
1,Taisho Pharm Holdings Co
2,Taisho Pharm Holdings Co
0,Bank Montreal
1,Bank Montreal
2,Bank Montreal
0,Alnylam Pharmaceuticals
1,Alnylam Pharmaceuticals
2,Alnylam Pharmaceuticals
0,Takashimaya Co
1,Takashimaya Co
2,Takashimaya Co
0,Takeda Pharmaceutical
1,Takeda Pharmaceutical
2,Takeda Pharmaceutical
0,Tanabe Seiyaku
1,Tanabe Seiyaku
2,Tanabe Seiyaku
0,Pidilite Industries
1,Pidilite Industries
2,Pidilite Industries
0,Sats
1,Sats
2,Sats
0,Carl Zeiss Meditec
1,Carl Zeiss Meditec
2,Carl Zeiss Meditec
0,Equinix
1,Equinix
2,Equinix
0,Taylor Wimpey
1,Taylor Wimpey
2,Taylor Wimpey
0,Micro Focus Intl
1,Micro Focus Intl
2,Micro Focus Intl
0,Mastercard A
1,Mastercard A
2,Mastercard A
0,United Airlines Holdings
1,United Airlines Holdings
2,United Airlines Holdings
0,Genting Singapore
1,Genting Singapore
2,Genting Singapore
0,Tdk Corp
1,Tdk Corp
2,Tdk Corp
0,Vermilion Energy
1,Vermilion Energy
2,Vermilion Energy
0,Pembina Pipeline
1,Pembina Pipeline
2,Pembina Pipeline
0,Altagas
1,Altagas
2,Altagas
0,Smartcentres Reit
1,Smartcentres Reit
2,Smartcentres Reit
0,Sartorius Stedim Biotech
1,Sartorius Stedim Biotech
2,Sartorius Stedim Biotech
0,Keyera
1,Keyera
2,Keyera
0,Teck Resources B
1,Teck Resources B
2,Teck Resources B
0,Riocan Reit
1,Riocan Reit
2,Riocan Reit
0,H & R Reit
1,H & R Reit
2,H & R Reit
0,Sbi Holdings
1,Sbi Holdings
2,Sbi Holdings
0,Teijin
1,Teijin
2,Teijin
0,Anhui Conch Cement H
1,Anhui Conch Cement H
2,Anhui Conch Cement H
0,Cyber Agent
1,Cyber Agent
2,Cyber Agent
0,Intercontinental Exch
1,Intercontinental Exch
2,Intercontinental Exch
0,Under Armour A
1,Under Armour A
2,Under Armour A
0,China Natl Building H
1,China Natl Building H
2,China Natl Building H
0,Exact Sciences Corp
1,Exact Sciences Corp
2,Exact Sciences Corp
0,Genmab
1,Genmab
2,Genmab
