	internal_pdfs	internal_web_texts	external_pdfs	external_web_texts	company
0	['https://www.methanex.com/sites/default/files/2020-Sustainability-Report.pdf']	['https://www.methanex.com/location/asia/korea', 'https://www.methanex.com/privacy-policy', 'https://www.methanex.com/careers', 'https://www.methanex.com/news', 'https://www.methanex.com/careers/current-opportunities', 'https://www.methanex.com/location/europe/belgium', 'https://www.methanex.com/about-methanol/methanol-marine-fuel', 'https://www.methanex.com/news/methanex-announces-5-share-repurchase-program-1', 'https://www.methanex.com/location/north-america/medicine-hat', 'https://www.methanex.com/news/', 'https://www.methanex.com/contact', 'https://www.methanex.com/zh-hans/location/asia/china/%E6%A6%82%E8%BF%B0', 'https://www.methanex.com/our-business/pricing', 'https://www.methanex.com/careers/work-around-world', 'https://www.methanex.com/careers/students-and-graduates', 'https://www.methanex.com/location/middle-east/united-arab-emirates', 'https://www.methanex.com/location/asia/hong-kong', 'https://www.methanex.com/about-methanol/safe-handling-methanol', 'https://www.methanex.com/', 'https://www.methanex.com/location/middle-east/egypt', 'https://www.methanex.com/location', 'https://www.methanex.com/location/canada/vancouver', 'https://www.methanex.com/terms-use', 'https://www.methanex.com/location/asia/china', 'https://www.methanex.com/location/north-america/dallas', 'https://www.methanex.com/investor-relations', 'https://www.methanex.com/careers/hr-contacts', 'https://www.methanex.com/cookie-policy', 'https://www.methanex.com/news/methanex-and-mitsui-osk-lines-finalize-definitive-agreements-strategic-shipping-partnership', 'https://www.methanex.com/location/asia/japan', 'https://www.methanex.com/location/new-zealand', 'https://www.methanex.com/about-methanol', 'https://www.methanex.com/news/methanex-reports-strong-third-quarter-2021-results-and-meaningful-cash-flow-generation-robust', 'https://www.methanex.com/location/north-america/geismar', 'https://www.methanex.com/fraudulent-recruitment-activity', 'https://www.methanex.com/location/south-america/chile', 'https://www.methanex.com/our-business', 'https://www.methanex.com/location/south-america/trinidad-and-tobago', 'https://www.methanex.com/about-us/board-governance/governance/governance-documents', 'https://www.methanex.com/sustainability', 'https://www.methanex.com/about-us']		['https://methanex.alertline.com/gcs/welcome', 'https://www.linkedin.com/company/methanex-corporation', 'http://methanex.us6.list-manage.com/unsubscribe', 'https://vimeo.com/methanex', 'https://twitter.com/methanex', 'http://express.methanex.com', 'mailto://sales@methanex.com', 'mailto://privacy@methanex.com', 'mailto://privacyeurope@methanex.com']	Methanex Corp
1	['https://www.methanex.com/sites/default/files/locations/canada-medicine-hat/SR%20Funding%20Summary%20Report%202014%20FINAL%20for%20external%20website.pdf']				Methanex Corp
2					Methanex Corp
3	['https://www.odakyu.jp/ir/integratedreport/o5oaa10000020qh9-img/Corporate_Governance_Report_20210826.pdf']				Odakyu Electric Railway
4	['https://www.odakyu.jp/ir/pdf/Corporate_Governance_Report_20210629.pdf']				Odakyu Electric Railway
5	['https://www.mitsubishielectric.com/en/sustainability/management/sdgs/pdf/Realize_a_Sustainable_Society_2016.pdf']				Odakyu Electric Railway
6	['https://fecorporateresponsibility.com/downloads/eei-esg-sustainability-template2019.pdf']				Firstenergy Corp
7	['https://fecorporateresponsibility.com/downloads/FirstEnergy_ESG_Highlights_and_Goals_2020-2021.pdf', 'https://fecorporateresponsibility.com/downloads/2020SASBIndexv2.pdf', 'https://fecorporateresponsibility.com/downloads/EEI_ESG_SustainabilityTemplatev2.pdf', 'https://fecorporateresponsibility.com/downloads/FirstEnergy_2018CorporateResponsibilityReport_GRIContentIndex.pdf', 'https://fecorporateresponsibility.com/downloads/ESGDataTables2020v2.pdf', 'https://fecorporateresponsibility.com/downloads/FirstEnergy_CorporateResponsibilityReport.pdf', 'https://fecorporateresponsibility.com/downloads/ESGDataTables2018.pdf', 'https://fecorporateresponsibility.com/downloads/2019-climate-report.pdf', 'https://fecorporateresponsibility.com/downloads/2019%20CDP%20Water.pdf', 'https://fecorporateresponsibility.com/downloads/FirstEnergy_CDP_2020_Water.pdf', 'https://fecorporateresponsibility.com/downloads/EEI_ESG_SustainabilityTemplate_2020.pdf', 'https://fecorporateresponsibility.com/downloads/2019%20CDP%20Climate.pdf', 'https://fecorporateresponsibility.com/downloads/2021GRIContentIndexv2.pdf', 'https://fecorporateresponsibility.com/downloads/eei-esg-sustainability-template2019.pdf', 'https://fecorporateresponsibility.com/downloads/2020TCFDReport.pdf', 'https://fecorporateresponsibility.com/downloads/ESGDataTables2019.pdf', 'https://fecorporateresponsibility.com/downloads/FirstEnergy_CDP_2020_Climate.pdf', 'https://fecorporateresponsibility.com/downloads/2020TCFDReport_Update.pdf', 'https://fecorporateresponsibility.com/downloads/2019SASBIndex.pdf', 'https://fecorporateresponsibility.com/downloads/2019GRIContentIndex.pdf']	['https://fecorporateresponsibility.com/social/customer-experience/', 'https://fecorporateresponsibility.com/environmental/non-ghg-air-emissions/', 'https://fecorporateresponsibility.com/social/energy-reliability/', 'https://fecorporateresponsibility.com/esg-reports-and-resources/', 'https://fecorporateresponsibility.com/governance/board-governance/', 'https://fecorporateresponsibility.com/environmental/sustainable-energy-future/', 'https://fecorporateresponsibility.com/governance/enterprise-risk-management/', 'https://fecorporateresponsibility.com/governance/strategy/', 'https://fecorporateresponsibility.com/social/diversity-equity-and-inclusion/', 'https://fecorporateresponsibility.com/social/community-impact/', 'https://fecorporateresponsibility.com/environmental/climate-story/', 'https://fecorporateresponsibility.com/environmental/biodiversity-and-conservation/', 'https://fecorporateresponsibility.com/governance/leadership-message/', 'https://fecorporateresponsibility.com/social/safety-health-and-wellness/', 'https://fecorporateresponsibility.com/corporate-responsibility/esg-goals-and-performance/', 'https://fecorporateresponsibility.com/social/sustainable-supply-chain/', 'https://fecorporateresponsibility.com/social/', 'https://fecorporateresponsibility.com/governance/enterprise-security/', 'https://fecorporateresponsibility.com/environmental/water-management/', 'https://fecorporateresponsibility.com/environmental/', 'https://fecorporateresponsibility.com/governance/ethics-and-compliance/', 'https://fecorporateresponsibility.com/governance/stakeholder-engagement/', 'https://fecorporateresponsibility.com/corporate-responsibility/', 'https://fecorporateresponsibility.com/social/talent-management-and-employee-development/', 'https://fecorporateresponsibility.com/corporate-responsibility/esg-approach-and-management/', 'https://fecorporateresponsibility.com/social/innovation/', 'https://fecorporateresponsibility.com/', 'https://fecorporateresponsibility.com/corporate-responsibility/esg-materiality/', 'https://fecorporateresponsibility.com/governance/political-and-public-policy-engagement/', 'https://fecorporateresponsibility.com/governance/', 'https://fecorporateresponsibility.com/environmental/waste-management/', 'https://fecorporateresponsibility.com/governance/our-covid-19-response/', 'https://fecorporateresponsibility.com/environmental/policy-and-compliance-excellence/', 'https://fecorporateresponsibility.com/governance/about-us/']	['https://www.firstenergycorp.com/content/dam/environmental/files/climate-strategy.pdf']	['https://www.firstenergycorp.com/met_edison.html', 'mailto://kssusick@firstenergycorp.com', 'http://www.twitter.com/firstenergycorp', 'https://www.firstenergycorp.com/ohio_edison.html', 'https://www.firstenergycorp.com/penn_power.html', 'https://www.feretirees.com', 'https://www.firstenergycorp.com/corporate/website-terms.html', 'https://www.firstenergycorp.com/my_account.html', 'https://www.firstenergycorp.com/save_energy.html', 'http://www.facebook.com/firstenergyCareers', 'https://www.firstenergycorp.com/corporate/contact_us.html', 'https://www.firstenergycorp.com/help/billingpayments/assistance_serviceprogram.html', 'https://www.firstenergycorp.com/illuminating_company.html', 'https://www.firstenergycorp.com/help/safety/scam-info.html', 'javascript://;', 'https://www.firstenergycorp.com/corporate/site_map.html', 'https://www.firstenergycorp.com/help/safety.html', 'https://www.firstenergycorp.com/west_penn_power.html', 'https://www.firstenergycorp.com/help/communication_tools.html', 'https://www.firstenergycorp.com/toledo_edison.html', 'https://firstenergycorp.com', 'https://www.youtube.com/user/FirstEnergyTV', 'https://www.firstenergycorp.com/outages_help/Report_Power_Outages.html', 'https://www.firstenergycorp.com/penelec.html', 'https://www.firstenergycorp.com/newsroom/social_media.html', 'https://www.firstenergycorp.com/', 'https://www.firstenergycorp.com/outages_help/current_outages_maps.html.html', 'https://www.firstenergycorp.com/potomac_edison.html', 'http://www.linkedin.com/company/firstenergy-corp/careers', 'https://www.firstenergycorp.com/careers.html', 'https://www.firstenergycorp.com/mon_power.html', 'https://www.firstenergycorp.com/help/saving_energy.html', 'http://www.flickr.com/photos/firstenergycorp/', 'https://www.firstenergycorp.com/investor.html', 'https://www.firstenergycorp.com/newsroom.html', 'https://www.firstenergycorp.com/jersey_central_power_light.html', 'https://www.firstenergycorp.com/help.html', 'https://www.firstenergycorp.com/corporate/privacy_legal_statement.html']	Firstenergy Corp
8	['https://www.firstenergycorp.com/content/dam/investor/files/annual-reports/current.pdf']				Firstenergy Corp
9	['https://www.ojiholdings.co.jp/Portals/0/resources/content/files/english/sustainability/report/e_2012_all.pdf']				Oji Holdings Corp
